,precision,precision,recall,recall,f1,f1
asset,SPY,TLT,SPY,TLT,SPY,TLT
model,,,,,,
ARIMA,0.6138392857142857,0.6287128712871287,0.6124721603563474,0.4884615384615384,0.6131549609810479,0.5497835497835498
Baseline,0.6719101123595506,0.6276391554702495,0.6659242761692651,0.6288461538461538,0.668903803131991,0.6282420749279539
Calibrated RF,0.7084188911704312,0.7474747474747475,0.7683741648106904,0.5692307692307692,0.7371794871794872,0.6462882096069869
ETS,0.6207674943566591,0.5888030888030888,0.6124721603563474,0.5865384615384616,0.6165919282511211,0.5876685934489403
"GARCH(1,1)",0.6434108527131783,0.601027397260274,0.7394209354120267,0.675,0.6880829015544041,0.6358695652173914
Random Forest,0.7476415094339622,0.7120181405895691,0.7060133630289532,0.6038461538461538,0.7262313860252004,0.6534859521331946
Regime-Switch,0.7084188911704312,0.7474747474747475,0.7683741648106904,0.5692307692307692,0.7371794871794872,0.6462882096069869
Stacked (RF+GARCH),0.7476415094339622,0.7120181405895691,0.7060133630289532,0.6038461538461538,0.7262313860252004,0.6534859521331946
