asset,model,n_test,rmse,mae,correlation
SPY,Baseline,1187,0.08532761226198815,0.056680055645352216,0.593339876958416
SPY,ETS,1187,0.09594343584811621,0.06306408868765463,0.48137935678478455
SPY,ARIMA,1187,0.08554148063932462,0.05703236660420222,0.47908122209068355
SPY,"GARCH(1,1)",1187,0.0824196729204376,0.05532622497141596,0.5325303119963316
SPY,Random Forest,1187,0.06437549016061202,0.04247832890317899,0.7381655457213933
SPY,Stacked (RF+GARCH),1187,0.0643755058061113,0.04247832711597275,0.7381652872420257
SPY,Regime-Switch,1187,0.068478806382363,0.04493073937795207,0.7181646181652517
SPY,Calibrated RF,1187,0.06583699544313662,0.04384445696485498,0.7386090554393792
TLT,Baseline,1187,0.07035443294063476,0.054115903866470326,0.4322989543542567
TLT,ETS,1187,0.07707188704428437,0.058800153374391345,0.31729019254101765
TLT,ARIMA,1187,0.06474516504652525,0.0489459207475779,0.32506155662238717
TLT,"GARCH(1,1)",1187,0.05905151512186927,0.04558036907867131,0.4585458812701745
TLT,Random Forest,1187,0.05605470649986276,0.04220487971338641,0.5515764804576744
TLT,Stacked (RF+GARCH),1187,0.056054686614659184,0.04220486842990713,0.5515765226708175
TLT,Regime-Switch,1187,0.05794509768044534,0.043134358478829155,0.533281042861032
TLT,Calibrated RF,1187,0.05794509768044534,0.043134358478829155,0.533281042861032
